qid_	label_	f0	f1	f2	f3	f4
40	1.0	1.0	1.0	0.0	0.0	1.3070650101000001
40	3.0	2.0	0.0	0.0	3.1179958742	0.89602768420000001
40	3.0	2.0	0.0	0.0	1.3592367006999999	0.89524531360000004
40	1.0	1.0	1.0	0.0	0.69314718060000002	0.88855308290000001
40	1.0	1.0	0.0	1.0	1.6094379124	0.78005313870000004
53	3.0	12.0	1.0	1.0	2.3974572448	1.1807463170000001
53	3.0	8.0	1.0	0.0	0.0	0.86035203930000004
53	3.0	9.0	0.0	0.0	3.1386910547000002	0.69062334299999995
53	3.0	7.0	0.0	1.0	0.0	1.2451804876000001
53	3.0	2.0	1.0	1.0	1.3296613489	1.1903772354
53	3.0	2.0	1.0	1.0	0.0	1.1871664524000001
53	3.0	1.0	1.0	1.0	0.0	2.3314788341999999
53	1.0	3.0	0.0	0.0	0.0	0.16582340000000001
53	1.0	2.0	0.0	0.0	0.0	2.6569592953000001
53	3.0	1.0	0.0	1.0	0.0	2.4543938637
53	1.0	1.0	1.0	0.0	0.0	2.4543938637
50	2.0	3.0	0.0	1.0	0.0	2.9667015075999998
50	3.0	3.0	0.0	1.0	2.3974572448	1.0862138270999999
50	3.0	1.0	1.0	1.0	0.69314718060000002	2.0125796794999999
50	1.0	2.0	1.0	0.0	1.6845339000999999	0.26136690379999999
50	1.0	1.0	1.0	0.0	0.0	3.0027396678999998
50	3.0	1.0	0.0	1.0	0.0	2.5022830962999998
50	1.0	2.0	0.0	0.0	0.0	2.2769739628000001
50	3.0	1.0	0.0	1.0	0.69314718060000002	1.4088058472
50	3.0	1.0	0.0	1.0	2.0794415417000001	1.2663521767000001
50	1.0	1.0	1.0	0.0	0.0	1.2210514545
50	3.0	1.0	0.0	1.0	0.0	0.62557077409999995
27	2.0	5.0	1.0	1.0	1.9867316488	2.1660487651999998
27	2.0	5.0	0.0	1.0	2.7536109853999999	0.64982080460000002
27	1.0	4.0	1.0	0.0	0.0	2.2836699486000001
27	2.0	2.0	1.0	1.0	0.0	2.2836699486000001
27	3.0	2.0	1.0	1.0	1.3321790402	1.8936947583999999
27	1.0	3.0	1.0	0.0	0.0	1.5053956508999999
27	2.0	2.0	1.0	1.0	1.8866967847	1.4618097543999999
27	2.0	1.0	1.0	1.0	0.0	3.4765625
27	3.0	1.0	1.0	1.0	0.63651416829999996	1.9129123688
27	2.0	2.0	1.0	0.0	2.0028830411	1.7535283565999999
27	3.0	2.0	0.0	1.0	1.5607104089999999	1.7529951334
16	2.0	60.0	1.0	1.0	0.42275954919999997	0.980353951
16	2.0	44.0	1.0	0.0	0.0	0.92863500099999996
16	3.0	23.0	1.0	1.0	1.2112892635000001	1.000663638
16	2.0	21.0	1.0	1.0	2.1927761883999999	1.0897663829999999
16	3.0	11.0	1.0	1.0	1.2000873228	1.339996934
16	2.0	13.0	0.0	0.0	1.4142643779999999	0.76855814499999997
16	2.0	13.0	0.0	0.0	0.98761480040000005	0.517288148
16	3.0	10.0	1.0	1.0	0.54020414240000003	0.79418927399999995
16	3.0	8.0	1.0	1.0	0.63903185969999998	0.91800510899999999
16	3.0	9.0	1.0	0.0	0.0	0.67646849200000003
16	3.0	7.0	1.0	1.0	0.68373890579999996	1.6798160075999999
47	3.0	1.0	1.0	1.0	0.0	2.3256921768000001
47	3.0	1.0	1.0	0.0	0.0	3.3289713860000001
47	1.0	2.0	0.0	0.0	0.0	1.7380676269999999
47	3.0	0.0	1.0	1.0	0.0	1.3566538095
47	3.0	1.0	1.0	0.0	0.0	1.3315885067
47	1.0	1.0	1.0	0.0	0.0	0.85920429229999995
47	1.0	1.0	1.0	0.0	0.0	0.64440321919999999
47	1.0	1.0	1.0	0.0	0.0	0.53700268269999996
47	1.0	2.0	0.0	0.0	0.0	0.51277440789999995
47	1.0	1.0	0.0	1.0	0.4929931541	0.42960214610000003
47	1.0	1.0	1.0	0.0	0.0	0.37843340640000001
39	3.0	3.0	0.0	1.0	2.3894928902000001	1.0763690472
39	1.0	3.0	1.0	0.0	0.0	0.81535762550000002
39	3.0	1.0	1.0	1.0	0.0	2.0081908703
39	3.0	2.0	0.0	1.0	2.0237312287	0.81026774639999999
39	1.0	1.0	1.0	0.0	0.0	3.4840111731999999
39	1.0	1.0	1.0	0.0	0.0	3.4840111731999999
39	3.0	1.0	0.0	1.0	0.0	2.6130084991000002
39	3.0	1.0	0.0	1.0	0.0	1.3065042495999999
39	3.0	1.0	0.0	1.0	1.2000873228	0.94009244439999995
39	3.0	0.0	1.0	1.0	1.6769877742999999	0.9014670253
39	3.0	2.0	0.0	0.0	3.1179958742	0.87348538639999995
4	1.0	14.0	0.0	0.0	0.0	0.57305640000000002
4	3.0	4.0	1.0	1.0	0.0	0.78910559420000004
4	2.0	2.0	1.0	1.0	0.0	0.76394981149999996
4	3.0	2.0	1.0	1.0	0.0	0.70844686030000004
4	3.0	3.0	1.0	0.0	0.0	0.59426605700000001
4	1.0	4.0	0.0	0.0	0.0	0.2375330329
4	1.0	2.0	1.0	0.0	0.0	2.4289608002
4	1.0	2.0	1.0	0.0	0.0	2.4289608002
4	3.0	1.0	1.0	1.0	0.0	2.2900462150999998
4	3.0	1.0	1.0	1.0	0.0	2.2900462150999998
4	2.0	1.0	1.0	1.0	0.0	2.0037903786000002
36	3.0	5.0	1.0	0.0	0.0	0.35749429459999998
36	3.0	3.0	1.0	0.0	0.0	0.92356097699999995
36	1.0	2.0	0.0	1.0	3.2318265609000001	1.7816244364
36	1.0	3.0	0.0	0.0	0.95027053920000004	0.88357955219999995
36	1.0	1.0	1.0	0.0	0.69314718060000002	1.8831377029
36	3.0	1.0	0.0	1.0	0.0	1.6321747303
36	3.0	1.0	1.0	0.0	0.0	1.5825424194
36	3.0	1.0	1.0	0.0	1.7917594692000001	0.9162288904
36	1.0	1.0	1.0	0.0	0.0	0.86879283190000001
36	1.0	2.0	0.0	0.0	2.4762354322000002	0.8159300089
36	1.0	2.0	0.0	0.0	2.0431918704999998	0.73724710940000004
38	2.0	68.0	1.0	0.0	1.9575283763	1.1891561749999999
38	1.0	23.0	0.0	1.0	3.2318265609000001	2.0494344230000001
38	1.0	13.0	0.0	1.0	3.0713837116999998	1.17702949
38	3.0	7.0	1.0	0.0	1.1595888142999999	1.2876759767999999
38	1.0	6.0	0.0	0.0	2.2080543929999998	0.99287307260000002
38	1.0	4.0	0.0	0.0	0.50040242349999997	2.2475488185999999
38	1.0	3.0	0.0	1.0	2.5299764618	1.0632126331
38	1.0	3.0	0.0	0.0	0.69314718060000002	1.7750954628
38	1.0	2.0	0.0	1.0	1.3321790402	1.5689775944
38	1.0	3.0	0.0	0.0	2.7414690769000001	1.5276348591
