	qid_	label_	f0	f1	f2	f3	f4
3.0	20	1.0	1.0	0.0	1.0	2.0582239041311672	1.2568483353
2.2	21	1.0	1.0	1.0	1.0	0.69314718055994529	0.97237277030000002
1.0	21	1.0	2.0	1.0	0.0	-0	0.4911224246
1.8	21	1.0	1.0	1.0	0.0	-0	2.7418169975
2.2	21	1.0	1.0	1.0	0.0	-0	1.9644896984
1.2	21	1.0	2.0	0.0	0.0	-0	1.7255814075
1.4	21	1.0	1.0	1.0	0.0	-0	1.7136354445999999
1.0	21	1.0	1.0	1.0	0.0	-0	1.3751428127000001
1.0	21	1.0	1.0	1.0	0.0	-0	1.1786937714000001
1.0	21	1.0	1.0	1.0	0.0	-0	1.1786937714000001
2.0	21	1.0	0.0	1.0	1.0	-0	1.0281813145000001
1.2	22	1.0	1.0	1.0	0.0	-0	1.7668623924
2.6	22	1.0	1.0	0.0	1.0	1.242453324894	1.0306696892
1.8	22	1.0	1.0	1.0	0.0	0.69314718055994529	0.3867113888
2.2	22	1.0	1.0	0.0	1.0	0.69314718055994529	0.3786616921
2.2	22	1.0	1.0	1.0	0.0	-0	0.36628067489999999
2.2	22	1.0	1.0	1.0	0.0	-0	0.36106693740000001
2.6	22	1.0	1.0	1.0	0.0	-0	0.33730229740000001
2.6	22	1.0	1.0	1.0	0.0	-0	0.297223866
2.2	22	1.0	1.0	1.0	0.0	-0	0.24807627500000001
2.2	22	1.0	1.0	1.0	0.0	-0	0.24308127160000001
2.4	23	1.0	5.0	1.0	0.0	-0	0.80255156760000002
2.2	23	1.0	4.0	0.0	1.0	0.0	2.5042605400000002
1.0	23	1.0	2.0	1.0	0.0	-0	0.59969937799999995
3.0	23	1.0	1.0	0.0	1.0	-0	2.5042605400000002
1.0	23	1.0	2.0	0.0	0.0	-0	1.0067160129999999
1.0	23	1.0	1.0	1.0	0.0	-0	0.44771572949999999
1.0	23	1.0	1.0	1.0	0.0	-0	0.42615827919999999
2.2	23	1.0	1.0	1.0	0.0	-0	0.20735198260000001
1.2	23	1.0	1.0	0.0	0.0	-0	3.1303257942
1.0	23	1.0	1.0	0.0	0.0	-0	2.5042605400000002
1.0	24	1.0	3.0	0.0	0.0	2.3046193848206715	0.57656013969999997
2.8	24	1.0	1.0	0.0	1.0	0.69314718055994529	4.6434335709000001
2.8	24	1.0	1.0	0.0	1.0	1.852479124952062	3.7828216552999998
1.8	24	1.0	1.0	1.0	0.0	-0	2.7837586402999999
1.8	24	1.0	1.0	1.0	0.0	-0	2.0878190993999999
1.0	24	1.0	1.0	1.0	0.0	-0	1.8762304782999999
1.8	24	1.0	1.0	0.0	1.0	3.0752296997273678	1.6822549105
1.0	24	1.0	1.0	1.0	0.0	-0	1.2178944349
1.4	24	1.0	1.0	1.0	0.0	0.69314718055994529	1.0450339316999999
1.0	24	1.0	1.0	1.0	0.0	-0	0.93811523910000005
