qid_	label_	f0	f1	f2	f3	f4
43	1.0	1.0	1.0	0.0	0.0	2.1384725571000001
43	1.0	1.0	1.0	0.0	0.0	1.8465133905
43	1.0	1.0	1.0	0.0	0.0	1.5886018276
43	1.0	1.0	1.0	0.0	0.0	1.530824542
43	3.0	1.0	0.0	1.0	2.9626385103000001	1.2068754435
43	3.0	1.0	0.0	1.0	2.3959081193	0.97319799659999995
43	1.0	1.0	1.0	0.0	0.0	0.72163760659999998
43	1.0	1.0	0.0	0.0	0.0	2.4620177746
43	3.0	1.0	0.0	0.0	0.0	2.2041652203000002
43	1.0	1.0	0.0	0.0	0.0	1.8465133905
43	1.0	1.0	0.0	0.0	0.0	1.5387611389
1	3.0	4.0	1.0	0.0	0.0	1.2554712295999999
1	3.0	3.0	1.0	1.0	0.0	1.1132621764999999
1	2.0	3.0	1.0	0.0	0.0	1.0900064706999999
1	3.0	3.0	1.0	0.0	0.0	0.88880509139999997
1	2.0	4.0	0.0	0.0	0.86756322850000001	0.72665262220000004
1	3.0	1.0	1.0	0.0	0.0	2.3797717093999999
1	3.0	1.0	1.0	0.0	0.0	2.3797717093999999
1	3.0	1.0	1.0	0.0	0.0	2.3797717093999999
1	1.0	1.0	1.0	0.0	0.0	2.3797717093999999
1	2.0	1.0	0.0	1.0	0.0	2.3797717093999999
1	2.0	1.0	1.0	0.0	0.69314718060000002	2.1034410000000001
54	3.0	1.0	1.0	1.0	1.2134098029	0.97503173350000005
54	3.0	3.0	0.0	0.0	3.1386910547000002	0.6530117393
54	1.0	1.0	1.0	0.0	0.0	2.2023336887
54	1.0	1.0	1.0	0.0	0.0	1.4001346827000001
54	3.0	1.0	0.0	1.0	1.6769877742999999	0.97503173350000005
54	1.0	1.0	1.0	0.0	0.0	0.88093346360000002
54	1.0	1.0	1.0	0.0	0.0	0.77081680299999999
54	3.0	1.0	0.0	1.0	1.2767278358	0.75499033930000004
54	1.0	1.0	1.0	0.0	0.69314718060000002	0.62197846170000004
54	1.0	1.0	1.0	0.0	0.0	0.60228258369999998
54	1.0	1.0	0.0	0.0	0.0	4.0266151427999999
