#query: tattoo - los angeles - 54
3.0 qid:16 1:7 2:1 3:1 4:0.6837389058 5:1.6798160076
#query: tattoo - denver - 47
3.0 qid:47 1:1 2:1 3:1 4:0 5:2.3256921768
3.0 qid:47 1:1 2:1 3:0 4:0 5:3.328971386
1.0 qid:47 1:2 2:0 3:0 4:0 5:1.738067627
3.0 qid:47 1:0 2:1 3:1 4:0 5:1.3566538095
3.0 qid:47 1:1 2:1 3:0 4:0 5:1.3315885067
1.0 qid:47 1:1 2:1 3:0 4:0 5:0.8592042923
1.0 qid:47 1:1 2:1 3:0 4:0 5:0.6444032192
1.0 qid:47 1:1 2:1 3:0 4:0 5:0.5370026827
1.0 qid:47 1:2 2:0 3:0 4:0 5:0.5127744079
1.0 qid:47 1:1 2:0 3:1 4:0.4929931541 5:0.4296021461
1.0 qid:47 1:1 2:1 3:0 4:0 5:0.3784334064
#query: iphone - san francisco - 39
3.0 qid:39 1:3 2:0 3:1 4:2.3894928902 5:1.0763690472
1.0 qid:39 1:3 2:1 3:0 4:0 5:0.8153576255
3.0 qid:39 1:1 2:1 3:1 4:0 5:2.0081908703
3.0 qid:39 1:2 2:0 3:1 4:2.0237312287 5:0.8102677464
1.0 qid:39 1:1 2:1 3:0 4:0 5:3.4840111732
1.0 qid:39 1:1 2:1 3:0 4:0 5:3.4840111732
3.0 qid:39 1:1 2:0 3:1 4:0 5:2.6130084991
3.0 qid:39 1:1 2:0 3:1 4:0 5:1.3065042496
3.0 qid:39 1:1 2:0 3:1 4:1.2000873228 5:0.9400924444
3.0 qid:39 1:0 2:1 3:1 4:1.6769877743 5:0.9014670253
3.0 qid:39 1:2 2:0 3:0 4:3.1179958742 5:0.8734853864
#query: restaurant - atlanta - 4
1.0 qid:4 1:14 2:0 3:0 4:0 5:0.5730564
3.0 qid:4 1:4 2:1 3:1 4:0 5:0.7891055942
2.0 qid:4 1:2 2:1 3:1 4:0 5:0.7639498115
3.0 qid:4 1:2 2:1 3:1 4:0 5:0.7084468603
3.0 qid:4 1:3 2:1 3:0 4:0 5:0.594266057
1.0 qid:4 1:4 2:0 3:0 4:0 5:0.2375330329
1.0 qid:4 1:2 2:1 3:0 4:0 5:2.4289608002
1.0 qid:4 1:2 2:1 3:0 4:0 5:2.4289608002
3.0 qid:4 1:1 2:1 3:1 4:0 5:2.2900462151
3.0 qid:4 1:1 2:1 3:1 4:0 5:2.2900462151
2.0 qid:4 1:1 2:1 3:1 4:0 5:2.0037903786
#query: nba - pittsburgh - 36
3.0 qid:36 1:5 2:1 3:0 4:0 5:0.3574942946
3.0 qid:36 1:3 2:1 3:0 4:0 5:0.923560977
1.0 qid:36 1:2 2:0 3:1 4:3.2318265609 5:1.7816244364
1.0 qid:36 1:3 2:0 3:0 4:0.9502705392 5:0.8835795522
1.0 qid:36 1:1 2:1 3:0 4:0.6931471806 5:1.8831377029
3.0 qid:36 1:1 2:0 3:1 4:0 5:1.6321747303
3.0 qid:36 1:1 2:1 3:0 4:0 5:1.5825424194
3.0 qid:36 1:1 2:1 3:0 4:1.7917594692 5:0.9162288904
